"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GEN"	"AGE"	"KV_A1"	"KV_A2"	"KV_A3"	"KV_A4"	"KV_B1"	"KV_B2"	"GE05_CP"	"ORDER"	"AV_A"	"AV_B"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
166			"base"	"interview"	2020-06-08 11:43:33	1	25	1	2	2	1	1	2	8	1	2	"03:30"	6	12	17	26	10	6	8	85		2020-06-08 11:44:58	T	F	7	7	0	0	2.12	67
168			"base"	"interview"	2020-06-08 11:45:03	2	23	1	2	2	5	2	4	8	4	100	"02:00"	7	64	16	38	26	6	17	174		2020-06-08 11:47:57	T	F	7	7	0	0	1.32	18
170			"base"	"interview"	2020-06-08 11:46:09	2	53	1	2	1	4	2	4	8	4	125	"01:30"	22	86	31	64	43	9	20	275		2020-06-08 11:50:44	T	F	7	7	0	0	0.76	0
172			"base"	"interview"	2020-06-08 11:47:07	1	20	1	2	2	2	1	4	8	3	40	"05:00"	4	13	15	21	22	6	8	89		2020-06-08 11:48:36	T	F	7	7	0	0	2.12	69
174			"base"	"interview"	2020-06-08 11:47:58	1	20	1	2	5	5	3	4	8	3	25	"02:22"	33	71	28	78	52	11	58	294		2020-06-08 11:53:29	T	F	7	7	0	0	0.61	0
175			"base"	"interview"	2020-06-08 11:49:28	2	21	1	2	4	1	4	4	9	1	100	"02:00"	10	35	18	26	40	9	15	153		2020-06-08 11:52:01	T	F	7	7	0	0	1.29	18
178			"base"	"interview"	2020-06-08 11:52:47	2	20	1	2	5	5	5	4	9	2	5000	"02:30"	21	57	17	76	20	7	30	228		2020-06-08 11:56:35	T	F	7	7	0	0	0.97	6
179			"base"	"interview"	2020-06-08 11:54:09	2	21	1	2	1	5	3	5	9	2	3000	"03:00"	6	44	32	47	13	6	39	187		2020-06-08 11:57:16	T	F	7	7	0	0	1.3	20
182			"base"	"interview"	2020-06-08 11:56:08	1	27	1	2	5	5	3	4	9	2	53	"01:15"	3	11	13	11	15	5	9	67		2020-06-08 11:57:15	T	F	7	7	0	0	2.36	102
190			"base"	"interview"	2020-06-08 12:09:27	2	24	1	2	1	5	5	4	10	3	250	"01:00"	4	60	19	31	17	6	16	153		2020-06-08 12:12:00	T	F	7	7	0	0	1.53	32
191			"base"	"interview"	2020-06-08 12:10:56			1	2	4	5			10	1	5	"30:20"	31	68	31	119				249		2020-06-08 12:15:05	F	F	4	4	17	16	0.61	0
192			"base"	"interview"	2020-06-08 12:13:15	1	45	1	2	3	-9	3	4	10	1	50	"03:00"	27	26	24	41	14	8	26	166		2020-06-08 12:16:01	T	F	7	7	10	10	1.18	14
194			"base"	"interview"	2020-06-08 12:20:24	1	19	1	2	2	4	4	4	11	4	225	"22:02"	14	51	1321	53	37	8	19	207		2020-06-08 12:45:27	T	F	7	7	0	0	0.82	2
195			"base"	"interview"	2020-06-08 12:23:26	2	19	1	2	4	4	2	4	11	4	50	"03:00"	5	20	22	5	26	9	54	141		2020-06-08 12:25:47	T	F	7	7	0	0	1.72	81
197			"base"	"interview"	2020-06-08 12:27:20	1	20	1	2	2	5	4	5	11	3	2500	"03:00"	22	45	11	32	16	8	11	145		2020-06-08 12:29:45	T	F	7	7	0	0	1.42	23
199			"base"	"interview"	2020-06-08 12:34:15	2	21	1	1	5	5	3	4	11	1	80	"02:45"	14	157	50	60	19	10	16	326		2020-06-08 12:39:42	T	F	7	7	0	0	0.85	4
200			"base"	"interview"	2020-06-08 12:34:47	2	51	1	2	4	4	3	4	11	1	0	"01:00"	14	69	44	76	15	11	24	253		2020-06-08 12:39:00	T	F	7	7	0	0	0.88	4
201			"base"	"interview"	2020-06-08 12:35:25	1	20	1	2	5	4	5	4	11	1	300	"02:00"	17	53	19	38	12	6	24	169		2020-06-08 12:38:14	T	F	7	7	0	0	1.22	13
202			"base"	"interview"	2020-06-08 12:38:13	1	19	1	2	3	5	2	5	12	2	1500	"02:30"	17	31	19	21	11	4	20	123		2020-06-08 12:40:16	T	F	7	7	0	0	1.61	32
203			"base"	"interview"	2020-06-08 12:40:47									12	4		":1011"	48	92						140		2020-06-08 12:43:07	F	F	2	2	100	100	0.45	0
204			"base"	"interview"	2020-06-08 12:43:35									12	3		"10100"	3	10						13		2020-06-08 12:43:48	F	F	2	2	100	100	3	208
206			"base"	"interview"	2020-06-08 12:49:08	1	18	1	2	3	5	3	4	12	3	50	"02:00"	17	57	15	24	23	8	20	164		2020-06-08 12:51:52	T	F	7	7	0	0	1.2	12
207			"base"	"interview"	2020-06-08 12:50:09	1	19	1	1	2	5	5	5	12	3	10000	"03:00"	6	69	35	39	36	12	74	218		2020-06-08 12:54:40	T	F	7	7	0	0	0.95	11
208			"base"	"interview"	2020-06-08 12:50:22	1	45	1	2	2	5	3	5	12	3	80	"02:30"	4	54	59	42	20	6	10	195		2020-06-08 12:53:37	T	F	7	7	0	0	1.45	31
211			"base"	"interview"	2020-06-08 12:56:14	1	20	1	1	1	5	4	4	13	4	2	"00:40"	554	1239	30	30	19	7	13	169		2020-06-08 13:27:46	T	F	7	7	0	0	0.91	11
213			"base"	"interview"	2020-06-08 13:03:33	1	19	1	2	2	5	2	4	13	4	800	"01:30"	23	11	19	38	20	9	22	142		2020-06-08 13:05:55	T	F	7	7	0	0	1.3	32
214			"base"	"interview"	2020-06-08 13:03:57	1	18	1	2	3	5	3	2	13	4	200	"01:30"	62	105	31	35	35	13	30	311		2020-06-08 13:09:08	T	F	7	7	0	0	0.69	2
216			"base"	"interview"	2020-06-08 13:07:50	1	20	1	2	3	5	1	5	13	2	300	"00:46"	53	99	26	37	41	7	21	284		2020-06-08 13:12:34	T	F	7	7	0	0	0.83	3
